ap,city,circle_code_no,ont_serial_no,vendor_name,station_mac,circle,ap_with_poor_snr_sample,ap_with_poor_snr_sample_2g,ap_with_poor_snr_sample_5g,tot_2g,tot_5g,tot_overall,ap_with_high_no_of_sticky_client_2g_with_good_coverage,ap_with_high_no_of_sticky_client_5g_with_poor_coverage,ap_with_high_tx_packet_error,ap_with_high_client_disconnection,ap_with_poor_link_speed_mcs_rate,ap_with_poor_link_speed_mcs_rate_2g,ap_with_poor_link_speed_mcs_rate_5g,ap_with_poor_coverage,ap_with_poor_coverage_2g,ap_with_poor_coverage_5g,ap_with_poor_dl_throughput_less_than_threshold,ap_with_poor_ul_throughput_less_than_threshold,ap_manufacturer,host_name,type,manufacturer,model,supportht,supportvht,supporthe,supporteht,connectedband,htbeamforming_numofstreams,ehtbeamforming_subeamformer,ehtbeamforming_subeamformee,ehtbeamforming_mubeamformer,ehtbeamforming_mubeamformee,ehtbeamforming_numofstreams,ap_with_poor_snr_sample_breach,ap_with_poor_snr_sample_2g_breach,ap_with_poor_snr_sample_5g_breach,ap_with_high_tx_packet_error_breach,ap_with_high_client_disconnection_breach,ap_with_poor_link_speed_mcs_rate_breach,ap_with_poor_link_speed_mcs_rate_2g_breach,ap_with_poor_link_speed_mcs_rate_5g_breach,ap_with_poor_coverage_breach,ap_with_poor_coverage_2g_breach,ap_with_poor_coverage_5g_breach,ap_with_poor_snr_sample_sample_count,ap_with_poor_snr_sample_2g_sample_count,ap_with_poor_snr_sample_5g_sample_count,ap_tot_2g_sample_count,ap_tot_5g_sample_count,ap_tot_overall_sample_count,ap_with_high_tx_packet_error_sample_count,ap_with_poor_link_speed_mcs_rate_sample_count,ap_with_poor_link_speed_mcs_rate_2g_sample_count,ap_with_poor_link_speed_mcs_rate_5g_sample_count,ap_with_poor_coverage_sample_count,ap_with_poor_coverage_2g_sample_count,ap_with_poor_coverage_5g_sample_count,mac_address,station_count,downtime_hours_used,ap_with_poor_coverage_2,ap_with_poor_coverage_5,ap_with_poor_snr_sample_2,ap_with_poor_snr_sample_5,ap_with_poor_link_speed_mcs_rate_2,ap_with_poor_link_speed_mcs_rate_5,ap_with_high_interference,ap_with_high_interference_2,ap_with_high_interference_5,ap_with_high_retry_rate,ap_with_high_retry_rate_flag,ap_with_high_tx_packet_error_percent,ap_with_high_tx_packet_error_flag,ap_with_high_rx_packet_error,ap_with_high_rx_packet_error_flag,ap_downtime_per,ap_with_high_internet_down_incident,ap_with_high_cpu_utilisation,ap_with_high_memory_packet_error,ap_with_high_no_of_sticky_client_2_with_good_coverage,ap_with_high_no_of_sticky_client_5_with_poor_coverage,ap_with_poor_tot_on_5g,ap_with_zero_usage,ap_with_high_channel_utilisation_pct,ap_with_high_channel_utilisation_count,total_channels_all,ap_with_high_channel_utilisation_2_pct,ap_with_high_channel_utilisation_2_count,total_channels_2,ap_with_high_channel_congestion_5_pct,ap_with_high_channel_congestion_5_count,total_channels_5,ap_with_poor_coverage_2_breach,ap_with_poor_coverage_5_breach,ap_with_poor_snr_sample_2_breach,ap_with_poor_snr_sample_5_breach,ap_with_poor_dl_throughput_less_than_threshold_breach,ap_with_poor_ul_throughput_less_than_threshold_breach,ap_with_poor_link_speed_mcs_rate_2_breach,ap_with_poor_link_speed_mcs_rate_5_breach,ap_with_high_interference_breach,ap_with_high_interference_2_breach,ap_with_high_interference_5_breach,ap_with_high_retry_rate_breach,ap_with_high_tx_packet_error_percent_breach,ap_with_high_rx_packet_error_breach,ap_downtime_per_breach,ap_with_high_internet_down_incident_breach,ap_with_high_cpu_utilisation_breach,ap_with_high_memory_packet_error_breach,ap_with_high_no_of_sticky_client_2_with_good_coverage_breach,ap_with_high_no_of_sticky_client_5_with_poor_coverage_breach,ap_with_poor_tot_on_5g_breach,ap_with_zero_usage_breach,ap_with_high_channel_utilisation_breach,ap_with_high_channel_utilisation_2_breach,ap_with_high_channel_congestion_5_breach,channelobss,channelobss2_4,channelobss2_4_breach,channelobss5,channelobss5_breach,channelobss_breach,ap_with_poor_coverage_2_sample_count,ap_with_poor_coverage_5_sample_count,ap_with_poor_snr_sample_2_sample_count,ap_with_poor_snr_sample_5_sample_count,ap_with_poor_link_speed_mcs_rate_2_sample_count,ap_with_poor_link_speed_mcs_rate_5_sample_count,ap_with_high_interference_sample_count,ap_with_high_interference_2_sample_count,ap_with_high_interference_5_sample_count,ap_with_high_retry_rate_sample_count,ap_with_high_tx_packet_error_percent_sample_count,ap_with_high_rx_packet_error_sample_count,ap_downtime_per_sample_count,ap_with_high_internet_down_incident_sample_count,ap_with_poor_tot_on_5g_sample_count,ap_with_high_channel_utilisation_sample_count,ap_with_high_channel_utilisation_2_sample_count,ap_with_high_channel_congestion_5_sample_count,channelobss_sample_count,channelobss2_4_sample_count,channelobss5_sample_count
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,286B35D324CB,Haryana,,,,0.0,100.0,0.12,,,0.0,17.0,0.0,0.0,0.0,5.26,,5.26,0.39,0.25,AOT4221NK,iPhone,PC,Intel,Desktop,False,False,True,False,0.0,0.0,,,,,,,,,False,True,False,False,False,False,,False,,,,34281472.0,34281472.0,28305035264.0,19,19,,19.0,19,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,1AA0C35EE4F9,Haryana,,,,0.0,100.0,58.49,False,False,0.0,64.0,0.0,0.0,0.0,0.0,,0.0,3.78,3.58,AOT4221NK,iPhone,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,,False,,,,16556018688.0,16556018688.0,28305035264.0,179,179,,179.0,179,0.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5215E04285F1,Haryana,0.14,0.0,0.14,2.75,97.25,6.02,True,False,0.0,20.0,25.98,41.94,24.57,0.13,0.0,0.14,2.9,0.08,AOT4221NK,,PHONE,OnePlus,10T 5G,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,16800.0,0.0,16800.0,1884094464.0,1884094464.0,31312844800.0,762,762,62.0,700.0,762,62.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,328CA786F86E,Haryana,0.0,0.0,0.0,100.0,0.0,0.01,False,False,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.01,0.01,AOT4221NK,Unknown_a0:91:a2:a1:32:21,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,408.0,408.0,0.0,2867887.0,2867887.0,31375606672.0,17,17,17.0,,17,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,7A63650BE0AF,Haryana,,,,0.0,100.0,1.74,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.02,0.01,AOT4221NK,Unknown_a0:91:a2:a1:32:21,,,,,,,,,,,,,,,,,,False,,False,False,False,False,,False,,,,546615367.0,546615367.0,31375606672.0,1147,1147,,1147.0,1147,0.0,1147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,4C22F33F2EDC,Haryana,,,,0.0,100.0,10.17,False,True,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,9.78,0.15,AAP321NK,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,,False,,,,3345868800.0,3345868800.0,32904240128.0,333,333,,333.0,333,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,78B39F1737D9,Haryana,0.0,0.0,0.0,100.0,0.0,0.11,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.64,0.16,AAP321NK,AAP321NK,OTHER,,,False,False,True,False,0.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,,24.0,24.0,0.0,16771072.0,16771072.0,15037023347.0,1,1,1.0,,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,F4032A96D8C9,Haryana,,,,0.0,100.0,0.52,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,AOT4221NK,iPhone,,,,,,,,,,,,,,,,,,False,,False,False,False,False,,False,,,,146439168.0,146439168.0,28305035264.0,813,813,,813.0,813,0.0,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,0A3CC1576FFD,Haryana,,,,0.0,100.0,4.54,False,False,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.6,1.42,AAP321NK,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,,False,,,,1493915648.0,1493915648.0,32904240128.0,925,925,,925.0,925,0.0,925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5A8CF8F08505,Haryana,0.0,0.0,0.0,0.0,100.0,2.92,False,False,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,2.1,AOT4221NK,,,,,,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,24456.0,0.0,24456.0,913147904.0,913147904.0,31312844800.0,1020,1020,1.0,1019.0,1020,1.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
