ap,city,circle_code_no,ont_serial_no,vendor_name,station_mac,circle,client_with_poor_snr_sample,client_with_poor_snr_sample_2,client_with_poor_snr_sample_5,tot_2g,tot_5g,tot_overall,client_with_high_no_of_sticky_client_2_with_good_coverage,client_with_high_no_of_sticky_client_5_with_poor_coverage,client_with_high_tx_packet_error,client_with_high_client_disconnection,client_with_poor_link_speed_mcs_rate,client_with_poor_link_speed_mcs_rate_2,client_with_poor_link_speed_mcs_rate_5,client_with_poor_coverage,client_with_poor_coverage_2,client_with_poor_coverage_5,client_with_poor_dl_throughput_less_than_threshold,client_with_poor_ul_throughput_less_than_threshold,ap_manufacturer,host_name,type,manufacturer,model,client_with_poor_snr_sample_breach,client_with_poor_snr_sample_2_breach,client_with_poor_snr_sample_5_breach,client_with_high_tx_packet_error_breach,client_with_high_client_disconnection_breach,client_with_poor_link_speed_mcs_rate_breach,client_with_poor_link_speed_mcs_rate_2_breach,client_with_poor_link_speed_mcs_rate_5_breach,client_with_poor_coverage_breach,client_with_poor_coverage_2_breach,client_with_poor_coverage_5_breach,count_of_total_samples_for_client_with_poor_snr_sample,count_of_total_samples_for_client_with_poor_snr_sample_2,count_of_total_samples_for_client_with_poor_snr_sample_5,count_of_total_samples_for_ap_tot_2g,count_of_total_samples_for_ap_tot_5g,count_of_total_samples_for_ap_tot_overall,count_of_total_samples_for_client_with_high_tx_packet_error,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_client_with_poor_coverage,count_of_total_samples_for_client_with_poor_coverage_2,count_of_total_samples_for_client_with_poor_coverage_5,mac_address,station_count,downtime_hours_used,ap_with_poor_coverage,ap_with_poor_coverage_2,ap_with_poor_coverage_5,ap_with_poor_snr_sample_2,ap_with_poor_snr_sample_5,ap_with_poor_snr_sample,ap_with_poor_dl_throughput_less_than_threshold,ap_with_poor_ul_throughput_less_than_threshold,ap_with_poor_link_speed_mcs_rate,ap_with_poor_link_speed_mcs_rate_2,ap_with_poor_link_speed_mcs_rate_5,ap_with_high_interference,ap_with_high_interference_2,ap_with_high_interference_5,ap_with_high_client_disconnection,ap_with_high_retry_rate,ap_with_high_retry_rate_flag,ap_with_high_tx_packet_error,ap_with_high_tx_packet_error_percent,ap_with_high_tx_packet_error_flag,ap_with_high_rx_packet_error,ap_with_high_rx_packet_error_flag,ap_downtime_per,ap_with_high_internet_down_incident,ap_with_high_cpu_utilisation,ap_with_high_memory_packet_error,ap_with_high_no_of_sticky_client_2_with_good_coverage,ap_with_high_no_of_sticky_client_5_with_poor_coverage,ap_with_poor_tot_on_5g,ap_with_zero_usage,ap_with_high_channel_utilisation_pct,ap_with_high_channel_utilisation_count,total_channels_all,ap_with_high_channel_utilisation_2_pct,ap_with_high_channel_utilisation_2_count,total_channels_2,ap_with_high_channel_congestion_5_pct,ap_with_high_channel_congestion_5_count,total_channels_5,ap_with_poor_coverage_breach,ap_with_poor_coverage_2_breach,ap_with_poor_coverage_5_breach,ap_with_poor_snr_sample_2_breach,ap_with_poor_snr_sample_5_breach,ap_with_poor_snr_sample_breach,ap_with_poor_dl_throughput_less_than_threshold_breach,ap_with_poor_ul_throughput_less_than_threshold_breach,ap_with_poor_link_speed_mcs_rate_breach,ap_with_poor_link_speed_mcs_rate_2_breach,ap_with_poor_link_speed_mcs_rate_5_breach,ap_with_high_interference_breach,ap_with_high_interference_2_breach,ap_with_high_interference_5_breach,ap_with_high_client_disconnection_breach,ap_with_high_retry_rate_breach,ap_with_high_tx_packet_error_breach,ap_with_high_tx_packet_error_percent_breach,ap_with_high_rx_packet_error_breach,ap_downtime_per_breach,ap_with_high_internet_down_incident_breach,ap_with_high_cpu_utilisation_breach,ap_with_high_memory_packet_error_breach,ap_with_high_no_of_sticky_client_2_with_good_coverage_breach,ap_with_high_no_of_sticky_client_5_with_poor_coverage_breach,ap_with_poor_tot_on_5g_breach,ap_with_zero_usage_breach,ap_with_high_channel_utilisation_breach,ap_with_high_channel_utilisation_2_breach,ap_with_high_channel_congestion_5_breach,channelobss,channelobss2_4,channelobss2_4_breach,channelobss5,channelobss5_breach,channelobss_breach,count_of_total_samples_for_ap_with_poor_coverage,count_of_total_samples_for_ap_with_poor_coverage_2,count_of_total_samples_for_ap_with_poor_coverage_5,count_of_total_samples_for_ap_with_poor_snr_sample_2,count_of_total_samples_for_ap_with_poor_snr_sample_5,count_of_total_samples_for_ap_with_poor_snr_sample,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_ap_with_high_interference,count_of_total_samples_for_ap_with_high_interference_2,count_of_total_samples_for_ap_with_high_interference_5,count_of_total_samples_for_ap_with_high_retry_rate,count_of_total_samples_for_ap_with_high_tx_packet_error,count_of_total_samples_for_ap_with_high_tx_packet_error_percent,count_of_total_samples_for_ap_with_high_rx_packet_error,count_of_total_samples_for_ap_downtime_per,count_of_total_samples_for_ap_with_high_internet_down_incident,count_of_total_samples_for_ap_with_poor_tot_on_5g,count_of_total_samples_for_ap_with_high_channel_utilisation,count_of_total_samples_for_ap_with_high_channel_utilisation_2,count_of_total_samples_for_ap_with_high_channel_congestion_5,count_of_total_samples_for_channelobss,count_of_total_samples_for_channelobss2_4,count_of_total_samples_for_channelobss5
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,286B35D324CB,Haryana,,,,0.0,100.0,0.44,False,False,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,1.88,0.08,AOT4221NK,Galaxy-S25-Ultra,,,,,,,False,True,False,False,False,False,,False,,,,255834112.0,255834112.0,58117276672.0,283.0,283.0,,283.0,283.0,0.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,1AA0C35EE4F9,Haryana,,,,0.0,100.0,7.61,False,False,0.0,16.0,0.0,0.0,0.0,0.0,,0.0,3.03,2.07,AOT4221NK,Galaxy-S25-Ultra,PHONE,Apple,iPhone,,,,False,True,False,False,False,False,,False,,,,4421041152.0,4421041152.0,58117276672.0,98.0,98.0,,98.0,98.0,0.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5215E04285F1,Haryana,0.0,0.0,0.0,24.33,75.67,20.77,False,False,0.0,11.0,21.66,0.0,22.08,0.0,0.0,0.0,2.93,0.11,AAP321NK,OnePlus-Nord-CE3-5G,,,,False,False,False,False,True,False,False,False,False,False,False,9056.0,0.0,9056.0,9175192576.0,9175192576.0,44170763264.0,577.0,577.0,11.0,566.0,577.0,11.0,566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,7A63650BE0AF,Haryana,0.0,0.0,0.0,0.0,100.0,0.38,False,False,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.01,0.0,AAP321NK,Anils-Galaxy-S9,OTHER,,,False,False,False,False,False,False,False,False,False,,False,190.0,0.0,190.0,67459072.0,67459072.0,17817314893.0,190.0,190.0,,190.0,190.0,0.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,4C22F33F2EDC,Haryana,,,,0.0,100.0,1.13,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.03,AOT4221NK,iPhone,,,,,,,False,,False,False,False,False,,False,,,,174337024.0,174337024.0,15393841152.0,298.0,298.0,,298.0,298.0,0.0,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,F4032A96D8C9,Haryana,,,,0.0,100.0,0.28,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.17,0.01,AOT4221NK,Galaxy-S25-Ultra,OTHER,Amazon,,,,,False,False,False,False,False,False,,False,,,,164130816.0,164130816.0,58117276672.0,402.0,402.0,,402.0,402.0,0.0,402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,0A3CC1576FFD,Haryana,,,,0.0,100.0,6.73,False,False,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,1.04,0.02,AOT4221NK,iPhone,,,,,,,False,True,False,False,False,False,,False,,,,1035702272.0,1035702272.0,15393841152.0,277.0,277.0,,277.0,277.0,0.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5A8CF8F08505,Haryana,0.0,0.0,0.0,0.26,99.74,2.45,False,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.17,AAP321NK,OnePlus-Nord-CE3-5G,,,,False,False,False,False,True,False,False,False,False,False,False,7424.0,0.0,7424.0,1081500672.0,1081500672.0,44170763264.0,465.0,465.0,1.0,464.0,465.0,1.0,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,A09208536DDC,Haryana,0.0,0.0,0.0,100.0,0.0,0.47,,,0.0,,89.73,89.73,0.0,0.0,0.0,,0.0,0.0,AAP321NK,iPhone,,,,False,False,False,False,,True,True,False,False,False,,21813.0,21813.0,0.0,31613952.0,31613952.0,6671285956.0,1149.0,1149.0,1149.0,,1149.0,1149.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,C621CC85C392,Haryana,0.0,0.0,0.0,0.0,100.0,0.18,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.47,0.07,AAP321NK,Anils-Galaxy-S9,,,,False,False,False,False,,False,False,False,False,,False,28.0,0.0,28.0,32630007.0,32630007.0,17817314893.0,28.0,28.0,,28.0,28.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
