ap,city,circle_code_no,ont_serial_no,vendor_name,station_mac,circle,client_with_poor_snr_sample,client_with_poor_snr_sample_2,client_with_poor_snr_sample_5,tot_2g,tot_5g,tot_overall,client_with_high_no_of_sticky_client_2_with_good_coverage,client_with_high_no_of_sticky_client_5_with_poor_coverage,client_with_high_tx_packet_error,client_with_high_client_disconnection,client_with_poor_link_speed_mcs_rate,client_with_poor_link_speed_mcs_rate_2,client_with_poor_link_speed_mcs_rate_5,client_with_poor_coverage,client_with_poor_coverage_2,client_with_poor_coverage_5,client_with_poor_dl_throughput_less_than_threshold,client_with_poor_ul_throughput_less_than_threshold,ap_manufacturer,host_name,type,manufacturer,model,client_with_poor_snr_sample_breach,client_with_poor_snr_sample_2_breach,client_with_poor_snr_sample_5_breach,client_with_high_tx_packet_error_breach,client_with_high_client_disconnection_breach,client_with_poor_link_speed_mcs_rate_breach,client_with_poor_link_speed_mcs_rate_2_breach,client_with_poor_link_speed_mcs_rate_5_breach,client_with_poor_coverage_breach,client_with_poor_coverage_2_breach,client_with_poor_coverage_5_breach,count_of_total_samples_for_client_with_poor_snr_sample,count_of_total_samples_for_client_with_poor_snr_sample_2,count_of_total_samples_for_client_with_poor_snr_sample_5,count_of_total_samples_for_ap_tot_2g,count_of_total_samples_for_ap_tot_5g,count_of_total_samples_for_ap_tot_overall,count_of_total_samples_for_client_with_high_tx_packet_error,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_client_with_poor_coverage,count_of_total_samples_for_client_with_poor_coverage_2,count_of_total_samples_for_client_with_poor_coverage_5,mac_address,station_count,downtime_hours_used,ap_with_poor_coverage,ap_with_poor_coverage_2,ap_with_poor_coverage_5,ap_with_poor_snr_sample_2,ap_with_poor_snr_sample_5,ap_with_poor_snr_sample,ap_with_poor_dl_throughput_less_than_threshold,ap_with_poor_ul_throughput_less_than_threshold,ap_with_poor_link_speed_mcs_rate,ap_with_poor_link_speed_mcs_rate_2,ap_with_poor_link_speed_mcs_rate_5,ap_with_high_interference,ap_with_high_interference_2,ap_with_high_interference_5,ap_with_high_client_disconnection,ap_with_high_retry_rate,ap_with_high_retry_rate_flag,ap_with_high_tx_packet_error,ap_with_high_tx_packet_error_percent,ap_with_high_tx_packet_error_flag,ap_with_high_rx_packet_error,ap_with_high_rx_packet_error_flag,ap_downtime_per,ap_with_high_internet_down_incident,ap_with_high_cpu_utilisation,ap_with_high_memory_packet_error,ap_with_high_no_of_sticky_client_2_with_good_coverage,ap_with_high_no_of_sticky_client_5_with_poor_coverage,ap_with_poor_tot_on_5g,ap_with_zero_usage,ap_with_high_channel_utilisation_pct,ap_with_high_channel_utilisation_count,total_channels_all,ap_with_high_channel_utilisation_2_pct,ap_with_high_channel_utilisation_2_count,total_channels_2,ap_with_high_channel_congestion_5_pct,ap_with_high_channel_congestion_5_count,total_channels_5,ap_with_poor_coverage_breach,ap_with_poor_coverage_2_breach,ap_with_poor_coverage_5_breach,ap_with_poor_snr_sample_2_breach,ap_with_poor_snr_sample_5_breach,ap_with_poor_snr_sample_breach,ap_with_poor_dl_throughput_less_than_threshold_breach,ap_with_poor_ul_throughput_less_than_threshold_breach,ap_with_poor_link_speed_mcs_rate_breach,ap_with_poor_link_speed_mcs_rate_2_breach,ap_with_poor_link_speed_mcs_rate_5_breach,ap_with_high_interference_breach,ap_with_high_interference_2_breach,ap_with_high_interference_5_breach,ap_with_high_client_disconnection_breach,ap_with_high_retry_rate_breach,ap_with_high_tx_packet_error_breach,ap_with_high_tx_packet_error_percent_breach,ap_with_high_rx_packet_error_breach,ap_downtime_per_breach,ap_with_high_internet_down_incident_breach,ap_with_high_cpu_utilisation_breach,ap_with_high_memory_packet_error_breach,ap_with_high_no_of_sticky_client_2_with_good_coverage_breach,ap_with_high_no_of_sticky_client_5_with_poor_coverage_breach,ap_with_poor_tot_on_5g_breach,ap_with_zero_usage_breach,ap_with_high_channel_utilisation_breach,ap_with_high_channel_utilisation_2_breach,ap_with_high_channel_congestion_5_breach,channelobss,channelobss2_4,channelobss2_4_breach,channelobss5,channelobss5_breach,channelobss_breach,count_of_total_samples_for_ap_with_poor_coverage,count_of_total_samples_for_ap_with_poor_coverage_2,count_of_total_samples_for_ap_with_poor_coverage_5,count_of_total_samples_for_ap_with_poor_snr_sample_2,count_of_total_samples_for_ap_with_poor_snr_sample_5,count_of_total_samples_for_ap_with_poor_snr_sample,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_ap_with_high_interference,count_of_total_samples_for_ap_with_high_interference_2,count_of_total_samples_for_ap_with_high_interference_5,count_of_total_samples_for_ap_with_high_retry_rate,count_of_total_samples_for_ap_with_high_tx_packet_error,count_of_total_samples_for_ap_with_high_tx_packet_error_percent,count_of_total_samples_for_ap_with_high_rx_packet_error,count_of_total_samples_for_ap_downtime_per,count_of_total_samples_for_ap_with_high_internet_down_incident,count_of_total_samples_for_ap_with_poor_tot_on_5g,count_of_total_samples_for_ap_with_high_channel_utilisation,count_of_total_samples_for_ap_with_high_channel_utilisation_2,count_of_total_samples_for_ap_with_high_channel_congestion_5,count_of_total_samples_for_channelobss,count_of_total_samples_for_channelobss2_4,count_of_total_samples_for_channelobss5
01244081160_dsl,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2E16524D4AFB,Haryana,0.0,0.0,0.0,0.0,100.0,71.72,False,False,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.09,AOT4221NK,iPhone,PHONE,Apple,iPhone,False,False,False,False,True,False,False,False,False,False,False,16128.0,0.0,16128.0,8255992832.0,8255992832.0,11511970816.0,673.0,673.0,1.0,672.0,673.0,1.0,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,286B35D324CB,Haryana,,,,0.0,100.0,1.82,,,0.0,16.0,0.0,0.0,0.0,0.0,,0.0,0.56,0.12,AAP321NK,DESKTOP-7592F22,,Intel,Desktop,,,,False,True,False,False,False,False,,False,,,,1608370311.0,1608370311.0,88152232941.0,199.0,199.0,,199.0,199.0,0.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,1AA0C35EE4F9,Haryana,,,,0.0,100.0,25.78,False,False,0.0,27.0,0.0,0.0,0.0,0.0,,0.0,15.77,0.07,AAP321NK,iPhone,PHONE,Apple,iPhone,,,,False,True,False,False,False,False,,False,,,,22729387884.0,22729387884.0,88152232941.0,743.0,743.0,,743.0,743.0,0.0,743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5215E04285F1,Haryana,0.0,0.0,0.0,15.73,84.27,10.14,True,False,0.0,18.0,13.03,31.03,11.62,0.0,0.0,0.0,1.71,0.15,AOT4221NK,OnePlus-10T-5G,,OnePlus,10T 5G,False,False,False,False,True,False,False,False,False,False,False,8880.0,0.0,8880.0,6707316736.0,6707316736.0,66154185728.0,399.0,399.0,29.0,370.0,399.0,29.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,FE252559ED23,Haryana,,,,0.0,100.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,AAP321NK,,,,,,,,False,False,False,False,False,False,,False,,,,144384.0,144384.0,16722976768.0,1.0,1.0,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,4C22F33F2EDC,Haryana,0.0,0.0,0.0,0.0,100.0,6.32,False,True,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,11.3,0.24,AOT4221NK,LGwebOSTV,,,,False,False,False,False,True,False,False,False,False,,False,71.0,0.0,71.0,5215002624.0,5215002624.0,82551737344.0,71.0,71.0,,71.0,71.0,0.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,F4032A96D8C9,Haryana,,,,0.0,100.0,0.92,,,1.99,,0.0,0.0,0.0,0.0,,0.0,0.35,0.03,AAP321NK,,,,,,,,False,,False,False,False,False,,False,,,,812156928.0,812156928.0,88152232941.0,906.0,906.0,,906.0,906.0,0.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,0A3CC1576FFD,Haryana,0.0,0.0,0.0,0.0,100.0,1.06,False,False,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.91,0.01,AOT4221NK,iPad,TABLET,Apple,iPad,False,False,False,False,False,False,False,False,False,,False,776.0,0.0,776.0,871147520.0,871147520.0,82551737344.0,776.0,776.0,,776.0,776.0,0.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,5A8CF8F08505,Haryana,0.0,0.0,0.0,0.0,100.0,0.46,False,False,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.02,0.01,AOT4221NK,MacBookPro,LAPTOP,Apple,MacBook,False,False,False,False,False,False,False,False,False,,False,24456.0,0.0,24456.0,304709632.0,304709632.0,66154185728.0,1019.0,1019.0,,1019.0,1019.0,0.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,A09208536DDC,Haryana,0.0,0.0,0.0,100.0,0.0,0.24,,,0.0,,86.71,86.71,0.0,0.0,0.0,,0.0,0.0,AOT4221NK,,,,,False,False,False,False,,True,True,False,False,False,,27984.0,27984.0,0.0,39924736.0,39924736.0,16665324935.0,1166.0,1166.0,1166.0,,1166.0,1166.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
